 start_time :2020-01-19 13:47:59 
 batch_size :5 
  start from66600, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 91.80 k 74.58  | 1.514    62.264    71.429    0.6626    0.3000 | 1.483    25.000    0.533 | 1.508     25.000    0.542 |  7 hr 32 min 
0.00003 92.00 k 74.74  | 1.494    62.803    72.507    0.6711    0.3000 | 1.471    25.200    0.523 | 1.570     25.000    0.562 |  7 hr 35 min 
0.00003 92.20 k 74.90  | 1.522    61.590    71.429    0.6601    0.3000 | 1.478    25.000    0.497 | 1.454     25.000    0.460 |  7 hr 39 min 
0.00003 92.40 k 75.06  | 1.510    61.321    69.946    0.6510    0.3000 | 1.473    25.000    0.490 | 1.446     25.000    0.442 |  7 hr 42 min 
0.00003 92.60 k 75.23  | 1.503    64.016    72.237    0.6779    0.3000 | 1.473    25.000    0.466 | 1.439     25.000    0.588 |  7 hr 46 min 
0.00003 92.80 k 75.39  | 1.467    65.499    72.776    0.6854    0.3000 | 1.449    25.000    0.543 | 1.576     25.000    0.500 |  7 hr 50 min 
0.00003 93.00 k 75.55  | 1.504    62.668    73.315    0.6728    0.3000 | 1.468    25.000    0.529 | 1.508     25.000    0.535 |  7 hr 53 min 
0.00003 93.20 k 75.71  | 1.490    64.286    73.854    0.6852    0.3000 | 1.475    25.000    0.513 | 1.535     25.000    0.567 |  7 hr 57 min 
0.00003 93.40 k 75.88  | 1.517    63.208    71.024    0.6669    0.3000 | 1.487    25.000    0.494 | 1.433     25.000    0.475 |  8 hr 00 min 
0.00003 93.60 k 76.04  | 1.503    61.995    71.563    0.6646    0.3000 | 1.488    25.000    0.476 | 1.518     25.000    0.442 |  8 hr 04 min 
0.00003 93.80 k 76.20  | 1.493    64.016    73.181    0.6814    0.3000 | 1.474    25.000    0.539 | 1.490     25.000    0.568 |  8 hr 08 min 
0.00003 94.00 k 76.36  | 1.527    61.186    71.024    0.6556    0.3000 | 1.471    25.000    0.516 | 1.451     25.000    0.435 |  8 hr 11 min 
0.00003 94.20 k 76.53  | 1.498    63.747    72.237    0.6760    0.3000 | 1.472    25.000    0.502 | 1.472     25.000    0.425 |  8 hr 15 min 
0.00003 94.40 k 76.69  | 1.516    61.860    70.216    0.6533    0.3000 | 1.483    25.200    0.489 | 1.427     25.000    0.425 |  8 hr 18 min 
0.00003 94.60 k 76.85  | 1.467    65.094    72.372    0.6841    0.3000 | 1.490    25.000    0.465 | 1.417     25.000    0.439 |  8 hr 22 min 
0.00003 94.80 k 77.01  | 1.493    64.690    72.372    0.6820    0.3000 | 1.459    25.000    0.518 | 1.495     25.000    0.517 |  8 hr 26 min 
0.00003 95.00 k 77.18  | 1.492    62.129    72.372    0.6677    0.3000 | 1.467    25.000    0.514 | 1.417     25.000    0.550 |  8 hr 29 min 
0.00003 95.20 k 77.34  | 1.505    62.399    71.024    0.6611    0.3000 | 1.472    25.000    0.497 | 1.390     25.000    0.575 |  8 hr 33 min 
0.00003 95.40 k 77.50  | 1.498    61.590    71.294    0.6588    0.3000 | 1.478    25.000    0.488 | 1.429     25.000    0.496 |  8 hr 36 min 
