 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 17.40 k 13.19  | 2.390    37.466    37.601    0.3753    0.7000 | 0.312    96.100    0.975 | 0.215     100.000    1.000 |  6 hr 51 min 
0.00030 17.60 k 13.34  | 2.389    37.466    37.601    0.3753    0.7000 | 0.295    98.100    0.988 | 0.524     95.000    0.950 |  6 hr 56 min 
0.00030 17.80 k 13.49  | 2.386    37.466    37.736    0.3760    0.7000 | 0.292    98.200    0.990 | 0.260     100.000    1.000 |  7 hr 01 min 
0.00030 18.00 k 13.64  | 2.387    37.466    37.601    0.3753    0.8000 | 0.303    97.600    0.985 | 0.220     100.000    1.000 |  7 hr 05 min 
0.00030 18.20 k 13.79  | 2.373    37.466    37.601    0.3753    0.8000 | 0.304    97.600    0.984 | 0.259     100.000    1.000 |  7 hr 10 min 
0.00030 18.40 k 13.94  | 2.377    37.332    37.601    0.3747    0.8000 | 0.313    96.800    0.977 | 0.488     95.000    0.975 |  7 hr 15 min 
0.00030 18.60 k 14.09  | 2.386    37.466    37.601    0.3753    0.7000 | 0.295    97.100    0.983 | 0.251     100.000    1.000 |  7 hr 20 min 
0.00030 18.80 k 14.25  | 2.384    37.601    37.736    0.3767    0.8000 | 0.289    97.600    0.985 | 0.180     100.000    1.000 |  7 hr 24 min 
0.00030 19.00 k 14.40  | 2.387    37.466    37.601    0.3753    0.7000 | 0.263    98.500    0.990 | 0.358     95.000    0.950 |  7 hr 29 min 
0.00030 19.20 k 14.55  | 2.395    37.601    37.601    0.3760    0.8000 | 0.281    97.500    0.985 | 0.253     100.000    1.000 |  7 hr 34 min 
0.00030 19.40 k 14.70  | 2.392    37.601    37.601    0.3760    0.8000 | 0.268    98.200    0.989 | 0.195     100.000    1.000 |  7 hr 38 min 
0.00030 19.60 k 14.85  | 2.399    37.466    37.601    0.3753    0.8000 | 0.288    97.700    0.985 | 0.208     95.000    0.967 |  7 hr 43 min 
0.00030 19.80 k 15.00  | 2.413    37.466    37.601    0.3753    0.8000 | 0.279    98.100    0.988 | 0.335     100.000    1.000 |  7 hr 48 min 
0.00030 20.00 k 15.16  | 2.415    37.466    37.601    0.3753    0.6000 | 0.292    97.400    0.982 | 0.207     100.000    1.000 |  7 hr 52 min 
0.00030 20.20 k 15.31  | 2.408    37.466    37.601    0.3753    0.8000 | 0.272    97.400    0.984 | 0.209     100.000    1.000 |  7 hr 57 min 
0.00030 20.40 k 15.46  | 2.417    37.466    37.601    0.3753    0.9000 | 0.299    96.900    0.980 | 0.167     100.000    1.000 |  8 hr 02 min 
0.00030 20.60 k 15.61  | 2.424    37.466    37.601    0.3753    0.8000 | 0.287    97.200    0.983 | 0.298     95.000    0.975 |  8 hr 06 min 
0.00030 20.80 k 15.76  | 2.429    37.466    37.601    0.3753    0.7000 | 0.271    97.700    0.986 | 0.273     100.000    1.000 |  8 hr 11 min 
