 start_time :2020-01-05 19:03:49 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 21.40 k 17.38  | 2.727    34.636    34.771    0.3470    0.7000 | 0.247    97.100    0.981 | 0.213     100.000    1.000 |  9 hr 00 min 
0.00030 21.60 k 17.55  | 2.734    34.636    34.906    0.3477    0.6000 | 0.219    98.400    0.991 | 0.189     100.000    1.000 |  9 hr 05 min 
0.00030 21.80 k 17.71  | 2.750    34.636    34.906    0.3477    0.6000 | 0.227    98.100    0.989 | 0.204     100.000    1.000 |  9 hr 10 min 
0.00030 22.00 k 17.87  | 2.753    34.636    34.906    0.3475    0.7000 | 0.215    98.900    0.993 | 0.130     100.000    1.000 |  9 hr 15 min 
0.00030 22.20 k 18.03  | 2.754    34.636    34.906    0.3477    0.6000 | 0.200    98.200    0.990 | 0.154     100.000    1.000 |  9 hr 20 min 
0.00030 22.40 k 18.20  | 2.751    34.636    34.906    0.3475    0.7000 | 0.235    98.100    0.986 | 0.219     100.000    1.000 |  9 hr 25 min 
0.00030 22.60 k 18.36  | 2.757    34.636    35.040    0.3480    0.7000 | 0.222    97.700    0.986 | 0.193     95.000    0.975 |  9 hr 30 min 
0.00030 22.80 k 18.52  | 2.758    34.636    34.906    0.3474    0.6000 | 0.220    97.500    0.985 | 0.168     100.000    1.000 |  9 hr 35 min 
0.00030 23.00 k 18.68  | 2.763    34.501    34.771    0.3464    0.6000 | 0.210    98.100    0.989 | 0.232     95.000    0.975 |  9 hr 40 min 
0.00030 23.20 k 18.85  | 2.775    34.501    34.906    0.3470    0.8000 | 0.225    98.200    0.988 | 0.367     95.000    0.967 |  9 hr 45 min 
0.00030 23.40 k 19.01  | 2.769    34.636    34.906    0.3477    0.6000 | 0.211    98.100    0.988 | 0.133     100.000    1.000 |  9 hr 50 min 
0.00030 23.60 k 19.17  | 2.783    34.636    34.906    0.3477    0.7000 | 0.183    98.900    0.994 | 0.202     100.000    1.000 |  9 hr 55 min 
0.00030 23.80 k 19.33  | 2.785    34.636    34.906    0.3475    0.6000 | 0.205    98.600    0.992 | 0.105     100.000    1.000 | 10 hr 00 min 
0.00030 24.00 k 19.50  | 2.771    34.636    34.771    0.3470    0.5000 | 0.211    98.100    0.988 | 0.174     100.000    1.000 | 10 hr 05 min 
0.00030 24.20 k 19.66  | 2.803    34.636    34.906    0.3474    0.7000 | 0.193    98.000    0.989 | 0.235     95.000    0.975 | 10 hr 10 min 
0.00030 24.40 k 19.82  | 2.794    34.501    34.771    0.3464    0.6000 | 0.211    97.600    0.986 | 0.204     100.000    1.000 | 10 hr 15 min 
0.00030 24.60 k 19.98  | 2.800    34.501    34.906    0.3470    0.7000 | 0.182    99.000    0.994 | 0.277     100.000    1.000 | 10 hr 20 min 
0.00030 24.80 k 20.15  | 2.813    34.636    34.906    0.3477    0.6000 | 0.187    98.200    0.991 | 0.199     100.000    1.000 | 10 hr 25 min 
0.00030 25.00 k 20.31  | 2.825    34.636    34.906    0.3477    0.7000 | 0.187    98.200    0.990 | 0.121     100.000    1.000 | 10 hr 30 min 
0.00030 25.20 k 20.47  | 2.825    34.367    34.906    0.3464    0.7000 | 0.190    98.700    0.993 | 0.192     95.000    0.967 | 10 hr 36 min 
0.00030 25.40 k 20.63  | 2.823    34.636    34.771    0.3470    0.6000 | 0.199    98.600    0.991 | 0.228     95.000    0.963 | 10 hr 41 min 
0.00030 25.60 k 20.80  | 2.822    34.636    34.906    0.3475    0.7000 | 0.182    98.800    0.993 | 0.180     100.000    1.000 | 10 hr 46 min 
0.00030 25.80 k 20.96  | 2.817    34.636    34.906    0.3477    0.6000 | 0.206    98.100    0.989 | 0.145     100.000    1.000 | 10 hr 51 min 
0.00030 26.00 k 21.12  | 2.836    34.636    34.906    0.3477    0.6000 | 0.193    98.000    0.988 | 0.151     100.000    1.000 | 10 hr 56 min 
0.00030 26.20 k 21.28  | 2.823    34.636    34.906    0.3477    0.6000 | 0.184    99.000    0.994 | 0.129     100.000    1.000 | 11 hr 01 min 
0.00030 26.40 k 21.45  | 2.838    34.636    34.906    0.3477    0.7000 | 0.195    98.200    0.989 | 0.156     100.000    1.000 | 11 hr 06 min 
0.00030 26.60 k 21.61  | 2.845    34.501    34.771    0.3464    0.6000 | 0.188    98.500    0.992 | 0.202     100.000    1.000 | 11 hr 11 min 
0.00030 26.80 k 21.77  | 2.845    34.501    34.771    0.3464    0.8000 | 0.183    98.300    0.990 | 0.146     100.000    1.000 | 11 hr 16 min 
0.00030 27.00 k 21.93  | 2.858    34.501    34.771    0.3464    0.8000 | 0.188    98.800    0.993 | 0.093     100.000    1.000 | 11 hr 21 min 
0.00030 27.20 k 22.10  | 2.844    34.501    35.040    0.3474    0.5000 | 0.186    98.700    0.992 | 0.167     100.000    1.000 | 11 hr 26 min 
0.00030 27.40 k 22.26  | 2.844    34.501    34.771    0.3464    0.6000 | 0.195    98.200    0.990 | 0.111     100.000    1.000 | 11 hr 31 min 
0.00030 27.60 k 22.42  | 2.852    34.501    34.771    0.3464    0.8000 | 0.185    98.800    0.993 | 0.127     100.000    1.000 | 11 hr 36 min 
0.00030 27.80 k 22.58  | 2.856    34.501    34.771    0.3464    0.8000 | 0.199    98.200    0.989 | 0.130     100.000    1.000 | 11 hr 41 min 
0.00030 28.00 k 22.75  | 2.872    34.501    34.906    0.3468    0.7000 | 0.175    99.100    0.995 | 0.410     95.000    0.950 | 11 hr 46 min 
0.00030 28.20 k 22.91  | 2.871    34.367    34.906    0.3464    0.8000 | 0.201    98.300    0.990 | 0.134     100.000    1.000 | 11 hr 51 min 
0.00030 28.40 k 23.07  | 2.877    34.636    34.771    0.3470    0.7000 | 0.177    98.900    0.994 | 0.207     100.000    1.000 | 11 hr 56 min 
0.00030 28.60 k 23.23  | 2.877    34.501    34.906    0.3470    0.6000 | 0.191    98.500    0.990 | 0.133     100.000    1.000 | 12 hr 01 min 
0.00030 28.80 k 23.40  | 2.871    34.367    34.906    0.3464    0.5000 | 0.187    98.300    0.990 | 0.177     100.000    1.000 | 12 hr 06 min 
0.00030 29.00 k 23.56  | 2.881    34.367    34.771    0.3457    0.6000 | 0.193    98.500    0.991 | 0.185     100.000    1.000 | 12 hr 11 min 
0.00030 29.20 k 23.72  | 2.880    34.501    34.771    0.3464    0.6000 | 0.183    97.500    0.986 | 0.134     100.000    1.000 | 12 hr 16 min 
0.00030 29.40 k 23.88  | 2.882    34.501    34.906    0.3470    0.7000 | 0.188    98.600    0.991 | 0.178     95.000    0.975 | 12 hr 21 min 
0.00030 29.60 k 24.05  | 2.881    34.232    34.906    0.3457    0.7000 | 0.191    97.300    0.985 | 0.111     100.000    1.000 | 12 hr 26 min 
0.00030 29.80 k 24.21  | 2.887    34.367    34.906    0.3464    0.6000 | 0.175    98.200    0.990 | 0.206     95.000    0.975 | 12 hr 31 min 
0.00030 30.00 k 24.37  | 2.895    34.501    35.040    0.3474    0.6000 | 0.178    98.600    0.992 | 0.106     100.000    1.000 | 12 hr 37 min 
0.00030 30.20 k 24.53  | 2.894    34.367    34.906    0.3464    0.7000 | 0.178    98.600    0.991 | 0.152     100.000    1.000 | 12 hr 41 min 
0.00030 30.40 k 24.70  | 2.904    34.501    34.771    0.3464    0.7000 | 0.175    98.400    0.992 | 0.223     95.000    0.975 | 12 hr 46 min 
0.00030 30.60 k 24.86  | 2.901    34.367    34.771    0.3457    0.6000 | 0.164    98.500    0.991 | 0.132     100.000    1.000 | 12 hr 52 min 
0.00030 30.80 k 25.02  | 2.896    34.501    34.906    0.3470    0.8000 | 0.166    98.400    0.991 | 0.220     95.000    0.975 | 12 hr 57 min 
