 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 42.40 k 33.36  | 1.459    63.881    81.806    0.7109    0.3000 | 1.617    28.500    0.415 | 1.784     25.000    0.343 |  6 hr 02 min 
0.00030 42.60 k 33.52  | 1.452    60.243    76.146    0.6670    0.3000 | 1.610    27.400    0.407 | 1.527     30.000    0.475 |  6 hr 06 min 
0.00030 42.80 k 33.67  | 1.485    45.957    78.976    0.6108    0.4000 | 1.494    32.000    0.495 | 1.476     35.000    0.492 |  6 hr 10 min 
0.00030 43.00 k 33.82  | 1.500    61.321    79.784    0.6856    0.3000 | 1.486    31.300    0.474 | 1.573     25.000    0.412 |  6 hr 13 min 
0.00030 43.20 k 33.97  | 1.515    60.647    75.067    0.6624    0.3000 | 1.536    31.900    0.452 | 1.497     30.000    0.467 |  6 hr 17 min 
0.00030 43.40 k 34.12  | 1.482    61.725    78.841    0.6876    0.3000 | 1.603    27.900    0.414 | 1.522     35.000    0.504 |  6 hr 21 min 
0.00030 43.60 k 34.27  | 1.484    66.038    83.827    0.7331    0.3000 | 1.605    28.000    0.414 | 1.622     25.000    0.406 |  6 hr 24 min 
0.00030 43.80 k 34.42  | 1.480    58.895    77.898    0.6617    0.3000 | 1.454    32.700    0.495 | 1.500     35.000    0.500 |  6 hr 28 min 
0.00030 44.00 k 34.58  | 1.467    49.057    77.898    0.6198    0.4000 | 1.513    31.300    0.468 | 1.692     35.000    0.504 |  6 hr 32 min 
0.00030 44.20 k 34.73  | 1.505    59.973    77.493    0.6709    0.3000 | 1.550    28.700    0.441 | 1.596     25.000    0.412 |  6 hr 35 min 
0.00030 44.40 k 34.88  | 1.450    50.404    81.671    0.6434    0.4000 | 1.585    29.100    0.421 | 1.560     30.000    0.417 |  6 hr 39 min 
0.00030 44.60 k 35.03  | 1.461    62.803    80.458    0.6986    0.3000 | 1.598    27.000    0.411 | 1.517     25.000    0.442 |  6 hr 42 min 
0.00030 44.80 k 35.18  | 1.448    49.461    82.884    0.6466    0.4000 | 1.451    33.300    0.510 | 1.507     25.000    0.427 |  6 hr 46 min 
0.00030 45.00 k 35.33  | 1.453    58.491    74.124    0.6449    0.3000 | 1.510    30.100    0.461 | 1.676     25.000    0.408 |  6 hr 50 min 
0.00030 45.20 k 35.49  | 1.467    60.782    77.089    0.6712    0.3000 | 1.523    31.000    0.453 | 1.563     30.000    0.417 |  6 hr 53 min 
0.00030 45.40 k 35.64  | 1.461    62.938    79.111    0.6914    0.3000 | 1.571    29.300    0.431 | 1.564     30.000    0.425 |  6 hr 57 min 
0.00030 45.60 k 35.79  | 1.438    65.499    85.175    0.7353    0.3000 | 1.572    29.800    0.428 | 1.613     25.000    0.400 |  7 hr 01 min 
0.00030 45.80 k 35.94  | 1.494    59.299    77.493    0.6627    0.3000 | 1.448    33.100    0.508 | 1.624     30.000    0.500 |  7 hr 04 min 
0.00030 46.00 k 36.09  | 1.476    62.264    76.550    0.6809    0.3000 | 1.499    32.000    0.471 | 1.419     25.000    0.450 |  7 hr 08 min 
0.00030 46.20 k 36.24  | 1.452    59.973    75.202    0.6572    0.3000 | 1.539    30.500    0.443 | 1.577     35.000    0.454 |  7 hr 12 min 
0.00030 46.40 k 36.39  | 1.447    50.943    84.771    0.6656    0.4000 | 1.553    28.900    0.431 | 1.480     35.000    0.450 |  7 hr 15 min 
0.00030 46.60 k 36.55  | 1.444    63.477    78.706    0.6930    0.3000 | 1.571    29.100    0.416 | 1.521     30.000    0.471 |  7 hr 19 min 
