 start_time :2020-01-22 00:24:19 
 batch_size :5 
  start from70000, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 98.20 k 74.41  | 1.460    65.903    72.372    0.6861    0.3000 | 1.483    25.000    0.531 | 1.446     25.000    0.617 |  8 hr 27 min 
0.00003 98.40 k 74.57  | 1.444    65.903    73.181    0.6889    0.3000 | 1.468    25.000    0.525 | 1.438     25.000    0.479 |  8 hr 31 min 
0.00003 98.60 k 74.72  | 1.451    66.981    72.237    0.6920    0.3000 | 1.462    25.000    0.508 | 1.398     25.000    0.575 |  8 hr 34 min 
0.00003 98.80 k 74.87  | 1.450    67.385    72.911    0.6984    0.3000 | 1.466    25.000    0.502 | 1.468     25.000    0.487 |  8 hr 38 min 
0.00003 99.00 k 75.02  | 1.464    68.194    75.067    0.7133    0.3000 | 1.477    25.000    0.479 | 1.484     25.000    0.475 |  8 hr 41 min 
0.00003 99.20 k 75.17  | 1.456    67.116    74.663    0.7042    0.3000 | 1.472    25.000    0.538 | 1.432     25.000    0.550 |  8 hr 45 min 
0.00003 99.40 k 75.32  | 1.458    67.655    74.259    0.7057    0.3000 | 1.473    25.000    0.517 | 1.518     25.000    0.500 |  8 hr 49 min 
0.00003 99.60 k 75.47  | 1.449    66.712    73.181    0.6954    0.3000 | 1.489    25.000    0.523 | 1.708     25.000    0.485 |  8 hr 52 min 
0.00003 99.80 k 75.63  | 1.456    67.116    72.642    0.6959    0.3000 | 1.489    25.000    0.506 | 1.574     25.000    0.408 |  8 hr 56 min 
0.00003 100.00 k 75.78  | 1.443    67.385    74.259    0.7034    0.3000 | 1.486    25.000    0.479 | 1.633     25.000    0.442 |  8 hr 59 min 
0.00003 100.20 k 75.93  | 1.464    65.633    74.394    0.6958    0.3000 | 1.460    25.000    0.528 | 1.460     25.000    0.475 |  9 hr 03 min 
0.00003 100.40 k 76.08  | 1.461    66.981    74.124    0.7013    0.3000 | 1.479    25.000    0.535 | 1.415     25.000    0.552 |  9 hr 07 min 
0.00003 100.60 k 76.23  | 1.456    66.038    73.046    0.6910    0.3000 | 1.469    25.000    0.506 | 1.475     25.000    0.517 |  9 hr 10 min 
